Sector,Industry,KPI Name,Specification ID,Scope,Specification
Oil & Gas,533 Exploration & Production,Energy Efficiency,E01-01,I,"Energy consumption, total"
Oil & Gas,533 Exploration & Production,GHG Emissions,E02-01,I,"GHG emissions, total (scope I,II)"
Oil & Gas,533 Exploration & Production,Staff turnover,S01-01,I,Percentage of FTE leaving p.a./total FTE
Oil & Gas,533 Exploration & Production,Training & qualification,S02-02,I,Average expenses on training per FTE p.a
Oil & Gas,533 Exploration & Production,Maturity of workforce,S03-01,I,"Age structure/distribution (number of FTEs per age group, 10-year intervals)"
Oil & Gas,533 Exploration & Production,Remuneration,S08-02,I,"Total amount of bonuses, incentives and stock options paid out in â‚¬,$"
Oil & Gas,533 Exploration & Production,Remuneration,S08-03,I,"Total number of FTEs who receive 90 % of total amount of bonuses, incentivesand stock options"
Oil & Gas,533 Exploration & Production,Litigation risks,V01-01,I,"Expenses and fines on filings, law suits related to anti-competitivebehavior, anti-trust and monopoly practices"
Oil & Gas,533 Exploration & Production,Corruption,V02-01,I,Percentage of revenues in regions with Transparency International corruptionindex below 6.0
Oil & Gas,533 Exploration & Production,Revenues from new,V03-02,I,Percentage of new products or modified products introduced lessproducts than 12 months ago
Oil & Gas,533 Exploration & Production,Innovation,S08-02,I,"Total amount of bonuses, incentives and stock options paid out in â‚¬,$"
Oil & Gas,533 Exploration & Production,Innovation,S08-03,I,"Total number of FTEs who receive 90 % of total amount of bonuses, incentivesand stock options"
Oil & Gas,533 Exploration & Production,Emissions to Air,E03-01,II,"Total CO²,NOx, SOx, VOC emissions in million tonnes"
Oil & Gas,533 Exploration & Production,Remediation,E12-01,II,"Expenditure for remediation, reclamation and decommissioning total in monetaryterms i.e. currencyE12-03 II Environmental spending for R&D, site rehabilitation and environmental monitoringtotal in monetary terms i.e. currency"
Oil & Gas,533 Exploration & Production,Contributions to,G01-01,II,Contributions to political parties as a percentage of total revenuespolitical parties
Oil & Gas,533 Exploration & Production,Dimensions of pending,G02-01,II,"Amount in monetary terms i.e. currency in controversy, dispute from legallegal proceedings proceedings"
Oil & Gas,533 Exploration & Production,Fatalities & Injuries,S04-03,II,Total number of fatalities in relation to FTEsS04-04 II Total number of injuries in relation to FTEs
Oil & Gas,533 Exploration & Production,Maintenance & safety,S09-02,II,"Total spendings in monetary terms i.e. currency on maintenance and safety ofproduction sites, plants ect."
Oil & Gas,533 Exploration & Production,Environmental CapEx,V12-02,II,CapEx allocation to investments on ESG relevant aspects of business as definedby the company (refered to Introduction 1.8.1. KPIs & Definitions)
Oil & Gas,533 Exploration & Production,Utilisation,V13-01,II,Capacity utilisation as a percentage of total available facilities
Oil & Gas,533 Exploration & Production,Supply Chain,V28-01,II,Total number of suppliersV28-02 II Percentage of sourcing from 3 biggest external suppliersV28-03 II Turnover of suppliers in percent
Oil & Gas,533 Exploration & Production,Emissions to Air,E03-04,III,TOP 2 components of emissions to air by environmental importance (according toTRI; PRTR; and EPER) Rank 1E03-05 III TOP 2 components of emissions to air by environmental importance (according toTRI; PRTR; and EPER) Rank 2
Oil & Gas,533 Exploration & Production,Emissions to Water,E03-09,III,TOP 2 components of emissions to water by environmental importance (accordingto TRI; PRTR; and EPER) Rank 1E03-10 III TOP 2 components of emissions to water by environmental importance (accordingto TRI; PRTR; and EPER) Rank 2
Oil & Gas,533 Exploration & Production,Remediation,E12-05,III,"Total amount of reserves for future environmental remediation, emissions,accident costs in monetary terms i.e. currency"
Oil & Gas,533 Exploration & Production,Leakages,E24-02,III,Volume of leakages in barrels or cubic metresE24-03 III Total amount of costs incurred through leakages including remediation and fines
Oil & Gas,533 Exploration & Production,Accidental oil/gas spills,E25-01,III,Volume of accidental oil spills in barrelsE25-02 III Total amount of costs incurred through accidental oil spills amount includingremediation and finesE25-04 III Volume of accidental gas spills in cubic metresE25-05 III Total amount of costs incurred through accidental gas spills amount includingremediation and fines
Oil & Gas,533 Exploration & Production,Local Staff,S17-01,III,Average percentage of FTE in non-domestic production and exploration sites hiredfrom respective non-domestic labour markets as of total FTESupply Chain V28-04 III Key Performance Narrative (Please answer the questions in max. 500 words)How do you ensure that your suppliers adhere to a standard of ESG compliancesimilar to that of your company?V28-05 III Key Performance Narrative (Please answer the questions in max. 500 words)When assessing the performance of your procurement and purchasing functions:Do you incentivise your procurement management for the selection of ESGperforming suppliers even if you might have to carry a premium over lessexpensive suppliers?
